snapshot_time,trip_id,stop_id,delay_sec
20260801_194017,4167780,2675,144.0
20260801_194017,4167780,2676,123.0
20260801_194017,4167780,2679,126.0
20260801_194017,4167780,1966,131.0
20260801_194017,4167780,1969,125.0
20260801_194017,4167780,4056,123.0
20260801_194017,4167780,3687,127.0
20260801_194017,4167780,3906,149.0
20260801_194017,4167780,3904,151.0
20260801_194017,4167780,4001,123.0
20260801_194017,4166695,2464,672.0
20260801_194017,4166695,2466,610.0
20260801_194017,4166695,2537,628.0
20260801_194017,4166695,3088,614.0
20260801_194017,4166695,3089,601.0
20260801_194017,4166695,3090,582.0
20260801_194017,4166695,2665,608.0
20260801_194017,4166695,2667,623.0
20260801_194017,4166695,2670,658.0
20260801_194017,4166695,2671,644.0
20260801_194017,4166695,3621,639.0
20260801_194017,4167781,3799,0.0
20260801_194017,4167781,4042,-2.0
20260801_194017,4167781,3761,-26.0
20260801_194017,4167781,3762,-27.0
20260801_194017,4167781,3763,0.0
20260801_194017,4167781,3765,-18.0
20260801_194017,4167781,3766,14.0
20260801_194017,4167781,1931,29.0
20260801_194017,4167781,4046,2.0
20260801_194017,4167781,3671,16.0
20260801_194017,4167781,4054,0.0
20260801_194017,4167781,4049,9.0
20260801_194017,4167781,2832,-26.0
20260801_194017,4167781,2670,20.0
20260801_194017,4167781,1166,-30.0
20260801_194017,4167781,3619,0.0
20260801_194017,4167781,2675,21.0
20260801_194017,4167781,2676,0.0
20260801_194017,4167781,2679,3.0
20260801_194017,4167781,1966,8.0
20260801_194017,4167781,1969,2.0
20260801_194017,4167781,4056,0.0
20260801_194017,4167781,3687,4.0
20260801_194017,4167781,3906,26.0
20260801_194017,4167781,3904,28.0
20260801_194017,4167781,4001,0.0
20260801_194017,4167782,3799,0.0
20260801_194017,4167782,4042,-2.0
20260801_194017,4167782,3761,-26.0
20260801_194017,4167782,3762,-27.0
20260801_194017,4167782,3763,0.0
20260801_194017,4167782,3765,-18.0
20260801_194017,4167782,3766,14.0
20260801_194017,4167782,1931,29.0
20260801_194017,4167782,4046,2.0
20260801_194017,4167782,3671,16.0
20260801_194017,4167782,4054,0.0
20260801_194017,4167782,4049,9.0
20260801_194017,4167782,2832,-26.0
20260801_194017,4167782,2670,20.0
20260801_194017,4167782,1166,-30.0
20260801_194017,4167782,3619,0.0
20260801_194017,4167782,2675,21.0
20260801_194017,4167782,2676,0.0
20260801_194017,4167782,2679,3.0
20260801_194017,4167782,1966,8.0
20260801_194017,4167782,1969,2.0
20260801_194017,4167782,4056,0.0
20260801_194017,4167782,3687,4.0
20260801_194017,4167782,3906,26.0
20260801_194017,4167782,3904,28.0
20260801_194017,4167782,4001,0.0
20260801_194017,4167428,3817,0.0
20260801_194017,4167428,3818,-21.0
20260801_194017,4167428,3819,23.0
20260801_194017,4167428,3820,17.0
20260801_194017,4167428,3821,-22.0
20260801_194017,4167428,3822,17.0
20260801_194017,4167428,3823,-17.0
20260801_194017,4167428,3824,0.0
20260801_194017,4167428,3825,-14.0
20260801_194017,4167428,3826,21.0
20260801_194017,4167428,3827,-6.0
20260801_194017,4167428,3839,-28.0
20260801_194017,4167428,3885,-29.0
20260801_194017,4167428,3840,-19.0
20260801_194017,4167428,3828,4.0
20260801_194017,4167428,3829,0.0
20260801_194017,4167428,3830,-22.0
20260801_194017,4167428,4089,12.0
20260801_194017,4167428,3831,-5.0
20260801_194017,4167428,3832,-11.0
20260801_194017,4167428,3841,-26.0
20260801_194017,4167428,3833,0.0
20260801_194017,4167428,3834,4.0
20260801_194017,4167428,3728,11.0
20260801_194017,4167428,2095,-4.0
20260801_194017,4167428,3847,27.0
20260801_194017,4167428,1212,-5.0
20260801_194017,4167428,3798,0.0
20260801_194017,4166698,3499,0.0
20260801_194017,4166698,1047,1.0
20260801_194017,4166698,2621,-7.0
20260801_194017,4166698,2622,7.0
20260801_194017,4166698,2623,25.0
20260801_194017,4166698,5161,-23.0
20260801_194017,4166698,2860,0.0
20260801_194017,4166698,1874,12.0
20260801_194017,4166698,1875,-18.0
20260801_194017,4166698,3715,-13.0
20260801_194017,4166698,2616,2.0
20260801_194017,4166698,2563,0.0
20260801_194017,4166698,2636,-28.0
20260801_194017,4166698,2649,28.0
20260801_194017,4166698,2653,-16.0
20260801_194017,4166698,2408,21.0
20260801_194017,4166698,1375,0.0
20260801_194017,4166698,1879,-22.0
20260801_194017,4166698,1893,0.0
20260801_194017,4166698,2541,0.0
20260801_194017,4166698,2462,17.0
20260801_194017,4166698,2463,-8.0
20260801_194017,4166698,2464,-7.0
20260801_194017,4166698,2466,-28.0
20260801_194017,4166698,2537,20.0
20260801_194017,4166698,3088,6.0
20260801_194017,4166698,3089,-7.0
20260801_194017,4166698,3090,-26.0
20260801_194017,4166698,2665,0.0
20260801_194017,4166698,2667,-16.0
20260801_194017,4166698,2670,19.0
20260801_194017,4166698,2671,5.0
20260801_194017,4166698,3621,0.0
20260801_194017,4167426,3834,365.0
20260801_194017,4167426,3728,372.0
20260801_194017,4167426,2095,331.0
20260801_194017,4167426,3847,362.0
20260801_194017,4167426,1212,330.0
20260801_194017,4167426,3798,335.0
20260801_194017,4167427,3817,248.0
20260801_194017,4167427,3818,227.0
20260801_194017,4167427,3819,271.0
20260801_194017,4167427,3820,265.0
20260801_194017,4167427,3821,226.0
20260801_194017,4167427,3822,254.0
20260801_194017,4167427,3823,207.0
20260801_194017,4167427,3824,277.0
20260801_194017,4167427,3825,263.0
